Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
APPSOU,APPSOU,APPAREL SOURCING,I
AEO,APP360,APPARELS 360 PTE LTD,I
APT,APT,ASCO POWER TECHNOLOGIES L.P.,I
AQUIST,AQUIST,AUTHENTIC FITNESS CORPORATION,I
ARAMCO,ARAMCO,ARAMCO IMPORTS INC,I
ARAWAK,ARAWAK,ARAWAK,I
ARBO,ARBO,ARMENIA BOOKS,I
ARCO,ARCO,ARCO TOY LTD,I
AREND,AREND,ARENDS INTERNATIONAL LTD,I
AREZ,AREZ,AREZ INTERNATIONAL LIMITED,I
ARHAT,ARHAT,"ARLINGTON HAT COMPANY, INC",I
ARIELA,ARIELA,ARIELA USA,I
ARJM,ARJM,ARJ MADONNA,I
ARJMAD,ARJMAD,ARJ MADONNA,I
ARM,ARM,MERITOR LVS ZHENJIANG CO. LTD,I
UA,ARMOUR,"UNDER ARMOUR, INC",A
ARMS,ARMS,ARKEMA MEXICO SA DE CV,I
RMAID,AROCK,AMEROCK CORP,I
ARSLGA,ARSLGA,ARS LONGA,I
ARTDEL,ARTDEL,DELL PRODUCTS EUROPE,I
ARTERA,ARTERA,"ARTESANIAS ERANDI, S.A. DE C.V.",I
ARTESY,ARTESY,ARTESYN TECHNOLOGIES ASIA-PACIFIC LTD,I
ARTIST,ARTIST,ARTIST EMPIRE JEWELLERY MFY LTD,I
ARVE1S,ARVE1S,ARVIN MERITOR ESSON,I
ARVIN,ARVIN,"INTEVA PRODUCTS, LLC",A
ARVSDI,ARVSDI,ARVIN MERITOR ST.DIE,I
ARVXFA,ARVXFA,ARVIN MERITOR LVS-FRANCE,I
ARVZHI,ARVZHI,ARVINMERITOR AUTOMOTIVE ZHENJIANG CO.LTD.,I
ASA,ASA,ASA LOGISTICS,I
ASAHI,ASAHI,ASAHI LOGISTICS LTD,I
ASBSL,ASBSL,AS BUREAU S.L.,I
ASCENA,ASCENA,PREMIUM BRANDS,A
